id,linktype,issue_id_1,issue_id_2
100612_Cloners,Cloners,TFSAP-25,TFSAP-24
100612_Cloners,Cloners,TFSAP-25,TFSAP-24
115135_Subtask,Subtask,TCAP-343,TCAP-344
115136_Subtask,Subtask,TCAP-343,TCAP-345
115138_Subtask,Subtask,TCAP-343,TCAP-346
115139_Subtask,Subtask,TCAP-343,TCAP-347
115140_Subtask,Subtask,TCAP-343,TCAP-348
115141_Subtask,Subtask,TCAP-343,TCAP-349
115142_Subtask,Subtask,TCAP-343,TCAP-350
115143_Subtask,Subtask,TCAP-343,TCAP-351
115144_Subtask,Subtask,TCAP-343,TCAP-352
115145_Subtask,Subtask,TCAP-343,TCAP-353
115146_Subtask,Subtask,TCAP-343,TCAP-354
115147_Subtask,Subtask,TCAP-343,TCAP-355
115148_Subtask,Subtask,TCAP-343,TCAP-356
115149_Subtask,Subtask,TCAP-343,TCAP-357
115150_Subtask,Subtask,TCAP-343,TCAP-358
115151_Subtask,Subtask,TCAP-343,TCAP-359
115152_Subtask,Subtask,TCAP-343,TCAP-360
115153_Subtask,Subtask,TCAP-343,TCAP-361
115154_Subtask,Subtask,TCAP-343,TCAP-362
115155_Subtask,Subtask,TCAP-343,TCAP-363
115156_Subtask,Subtask,TCAP-343,TCAP-364
115157_Subtask,Subtask,TCAP-343,TCAP-365
115158_Subtask,Subtask,TCAP-343,TCAP-366
115159_Subtask,Subtask,TCAP-343,TCAP-367
115160_Subtask,Subtask,TCAP-343,TCAP-368
115161_Subtask,Subtask,TCAP-343,TCAP-369
115162_Subtask,Subtask,TCAP-343,TCAP-370
115163_Subtask,Subtask,TCAP-343,TCAP-371
115164_Subtask,Subtask,TCAP-343,TCAP-372
115165_Subtask,Subtask,TCAP-343,TCAP-373
115166_Subtask,Subtask,TCAP-343,TCAP-374
115167_Subtask,Subtask,TCAP-343,TCAP-375
115168_Subtask,Subtask,TCAP-343,TCAP-376
115169_Subtask,Subtask,TCAP-343,TCAP-377
115170_Subtask,Subtask,TCAP-343,TCAP-378
115171_Subtask,Subtask,TCAP-343,TCAP-379
115172_Subtask,Subtask,TCAP-343,TCAP-380
115173_Subtask,Subtask,TCAP-343,TCAP-381
115174_Subtask,Subtask,TCAP-343,TCAP-382
115175_Subtask,Subtask,TCAP-343,TCAP-383
115176_Subtask,Subtask,TCAP-343,TCAP-384
115177_Subtask,Subtask,TCAP-343,TCAP-385
115178_Subtask,Subtask,TCAP-343,TCAP-386
115179_Subtask,Subtask,TCAP-343,TCAP-387
115180_Subtask,Subtask,TCAP-343,TCAP-388
115181_Subtask,Subtask,TCAP-343,TCAP-389
115182_Subtask,Subtask,TCAP-343,TCAP-390
115183_Subtask,Subtask,TCAP-343,TCAP-391
115184_Subtask,Subtask,TCAP-343,TCAP-392
115185_Subtask,Subtask,TCAP-343,TCAP-393
115186_Subtask,Subtask,TCAP-343,TCAP-394
115187_Subtask,Subtask,TCAP-343,TCAP-395
115188_Subtask,Subtask,TCAP-343,TCAP-396
115189_Subtask,Subtask,TCAP-343,TCAP-397
115190_Subtask,Subtask,TCAP-343,TCAP-398
115191_Subtask,Subtask,TCAP-343,TCAP-399
115192_Subtask,Subtask,TCAP-343,TCAP-400
115193_Subtask,Subtask,TCAP-343,TCAP-401
115194_Subtask,Subtask,TCAP-343,TCAP-402
115195_Subtask,Subtask,TCAP-343,TCAP-403
115196_Subtask,Subtask,TCAP-343,TCAP-404
115197_Subtask,Subtask,TCAP-343,TCAP-405
115198_Subtask,Subtask,TCAP-343,TCAP-406
115199_Subtask,Subtask,TCAP-343,TCAP-407
115200_Subtask,Subtask,TCAP-343,TCAP-408
115201_Subtask,Subtask,TCAP-343,TCAP-409
115202_Subtask,Subtask,TCAP-343,TCAP-410
115203_Subtask,Subtask,TCAP-343,TCAP-411
115204_Subtask,Subtask,TCAP-343,TCAP-412
115205_Subtask,Subtask,TCAP-343,TCAP-413
115206_Subtask,Subtask,TCAP-343,TCAP-414
115207_Subtask,Subtask,TCAP-343,TCAP-415
115208_Subtask,Subtask,TCAP-343,TCAP-416
115209_Subtask,Subtask,TCAP-343,TCAP-417
115210_Subtask,Subtask,TCAP-343,TCAP-418
115211_Subtask,Subtask,TCAP-343,TCAP-419
115212_Subtask,Subtask,TCAP-343,TCAP-420
115213_Subtask,Subtask,TCAP-343,TCAP-421
115214_Subtask,Subtask,TCAP-343,TCAP-422
115215_Subtask,Subtask,TCAP-343,TCAP-423
115216_Subtask,Subtask,TCAP-343,TCAP-424
115217_Subtask,Subtask,TCAP-343,TCAP-425
115218_Subtask,Subtask,TCAP-343,TCAP-426
115219_Subtask,Subtask,TCAP-343,TCAP-427
115220_Subtask,Subtask,TCAP-343,TCAP-428
115221_Subtask,Subtask,TCAP-343,TCAP-429
115222_Subtask,Subtask,TCAP-343,TCAP-430
115223_Subtask,Subtask,TCAP-343,TCAP-431
115224_Subtask,Subtask,TCAP-343,TCAP-432
115225_Subtask,Subtask,TCAP-343,TCAP-433
115226_Subtask,Subtask,TCAP-343,TCAP-434
115227_Subtask,Subtask,TCAP-343,TCAP-435
115228_Subtask,Subtask,TCAP-343,TCAP-436
115229_Subtask,Subtask,TCAP-343,TCAP-437
115230_Subtask,Subtask,TCAP-343,TCAP-438
115231_Subtask,Subtask,TCAP-343,TCAP-439
115232_Subtask,Subtask,TCAP-343,TCAP-440
115233_Subtask,Subtask,TCAP-343,TCAP-441
115234_Subtask,Subtask,TCAP-343,TCAP-442
115235_Subtask,Subtask,TCAP-343,TCAP-443
115236_Subtask,Subtask,TCAP-343,TCAP-444
115237_Subtask,Subtask,TCAP-343,TCAP-445
115238_Subtask,Subtask,TCAP-343,TCAP-446
115239_Subtask,Subtask,TCAP-343,TCAP-447
115240_Subtask,Subtask,TCAP-343,TCAP-448
115241_Subtask,Subtask,TCAP-343,TCAP-449
